order,node_id_1based,x,y,next_node_id_1based
101,1072,12199.4444,86763.0556,2429
102,2429,12199.4444,86763.0556,1131
103,1131,12216.6667,86733.3333,2428
104,2428,12237.5,86721.6667,2186
105,2186,12266.6667,86733.3333,454
106,454,12283.3333,86750.0,1819
107,1819,12283.3333,86750.0,431
108,431,12300.0,86766.6667,2402
109,2402,12300.0,86783.3333,283
110,283,12266.6667,86783.3333,2420
111,2420,12266.6667,86783.3333,550
112,550,12250.0,86800.0,1898
113,1898,12266.6667,86833.3333,958
114,958,12250.0,86866.6667,957
115,957,12250.0,86866.6667,2753
116,2753,12283.3333,86883.3333,3165
117,3165,12316.6667,86900.0,2002
118,2002,12333.3333,86883.3333,627
119,627,12300.0,86866.6667,1725
120,1725,12283.3333,86850.0,3495
121,3495,12275.2778,86842.5,927
122,927,12300.0,86816.6667,677
123,677,12333.3333,86816.6667,2853
124,2853,12333.3333,86783.3333,2851
125,2851,12333.3333,86783.3333,1553
126,1553,12333.3333,86783.3333,1794
127,1794,12350.0,86783.3333,1793
128,1793,12350.0,86783.3333,3072
129,3072,12350.0,86800.0,1166
130,1166,12350.0,86816.6667,1557
131,1557,12366.6667,86816.6667,3375
132,3375,12366.6667,86833.3333,2781
133,2781,12383.3333,86833.3333,1415
134,1415,12400.0,86833.3333,2033
135,2033,12400.0,86816.6667,2240
136,2240,12400.0,86816.6667,3058
137,3058,12400.0,86816.6667,706
138,706,12400.0,86800.0,881
139,881,12416.6667,86800.0,815
140,815,12433.3333,86800.0,518
141,518,12466.6667,86766.6667,778
142,778,12516.6667,86783.3333,2279
143,2279,12516.6667,86750.0,646
144,646,12533.3333,86733.3333,986
145,986,12533.3333,86716.6667,1815
146,1815,12533.3333,86716.6667,1093
147,1093,12566.6667,86716.6667,2497
148,2497,12566.6667,86716.6667,166
149,166,12583.3333,86716.6667,833
150,833,12566.6667,86683.3333,613
151,613,12550.0,86666.6667,1431
152,1431,12592.5,86679.7222,1253
153,1253,12616.6667,86683.3333,2569
154,2569,12616.6667,86683.3333,3121
155,3121,12616.6667,86700.0,2954
156,2954,12616.6667,86700.0,1655
157,1655,12627.7778,86702.5,177
158,177,12627.7778,86702.5,13
159,13,12627.7778,86702.5,12
160,12,12627.7778,86702.5,2386
161,2386,12627.7778,86702.5,3485
162,3485,12627.7778,86702.5,2524
163,2524,12650.0,86700.0,3108
164,3108,12650.0,86700.0,671
165,671,12650.0,86666.6667,2677
166,2677,12683.3333,86683.3333,623
167,623,12700.0,86683.3333,1369
168,1369,12736.9444,86698.6111,1842
169,1842,12716.6667,86716.6667,3220
170,3220,12700.0,86716.6667,3490
171,3490,12694.4444,86718.6111,2439
172,2439,12683.3333,86750.0,1756
173,1756,12683.3333,86783.3333,2619
174,2619,12716.6667,86783.3333,1894
175,1894,12733.3333,86783.3333,2031
176,2031,12733.3333,86816.6667,3440
177,3440,12700.0,86816.6667,2493
178,2493,12700.0,86816.6667,1188
179,1188,12700.0,86816.6667,1255
180,1255,12683.3333,86816.6667,774
181,774,12683.3333,86800.0,2725
182,2725,12666.6667,86800.0,568
183,568,12633.3333,86800.0,2985
184,2985,12616.6667,86766.6667,2825
185,2825,12616.6667,86750.0,809
186,809,12575.0,86779.7222,1008
187,1008,12550.0,86816.6667,1779
188,1779,12550.0,86816.6667,3080
189,3080,12550.0,86816.6667,3097
190,3097,12550.0,86816.6667,2988
191,2988,12533.3333,86816.6667,2632
192,2632,12533.3333,86816.6667,2176
193,2176,12533.3333,86816.6667,452
194,452,12500.0,86816.6667,1486
195,1486,12483.3333,86816.6667,2986
196,2986,12500.0,86833.3333,2989
197,2989,12500.0,86833.3333,247
198,247,12500.0,86833.3333,920
199,920,12483.3333,86850.0,716
200,716,12500.0,86850.0,289
201,289,12520.5556,86860.0,850
202,850,12550.0,86850.0,2029
203,2029,12550.0,86866.6667,919
204,919,12533.3333,86883.3333,704
205,704,12533.3333,86900.0,657
206,657,12516.6667,86916.6667,478
207,478,12516.6667,86916.6667,1039
208,1039,12506.1111,86903.3333,1041
209,1041,12506.1111,86903.3333,1132
210,1132,12483.3333,86883.3333,2987
211,2987,12483.3333,86883.3333,2780
212,2780,12483.3333,86916.6667,2199
213,2199,12500.0,86933.3333,318
214,318,12516.6667,86950.0,2424
215,2424,12516.6667,86950.0,911
216,911,12566.6667,86966.6667,489
217,489,12566.6667,86983.3333,3493
218,3493,12553.0556,86978.3333,1115
219,1115,12543.0556,86978.8889,1114
220,1114,12543.0556,86978.8889,664
221,664,12533.3333,86983.3333,2398
222,2398,12516.6667,86983.3333,1721
223,1721,12500.0,86983.3333,2952
224,2952,12483.3333,86983.3333,2962
225,2962,12483.3333,86983.3333,2964
226,2964,12483.3333,86983.3333,2963
227,2963,12483.3333,86983.3333,453
228,453,12466.6667,86966.6667,1043
229,1043,12450.0,86966.6667,1870
230,1870,12450.0,86950.0,2083
231,2083,12450.0,86933.3333,1908
232,1908,12433.3333,86933.3333,2638
233,2638,12416.6667,86933.3333,503
234,503,12400.0,86933.3333,1871
235,1871,12400.0,86916.6667,2291
236,2291,12416.6667,86883.3333,1609
237,1609,12435.5556,86879.4444,1942
238,1942,12433.3333,86850.0,3101
239,3101,12433.3333,86850.0,2180
240,2180,12450.0,86850.0,2758
241,2758,12450.0,86833.3333,430
242,430,12433.3333,86833.3333,502
243,502,12416.6667,86833.3333,2733
244,2733,12416.6667,86850.0,2967
245,2967,12416.6667,86850.0,2432
246,2432,12400.0,86866.6667,2401
247,2401,12383.3333,86866.6667,1633
248,1633,12366.6667,86866.6667,1473
249,1473,12366.6667,86883.3333,2755
250,2755,12366.6667,86883.3333,2478
251,2478,12366.6667,86900.0,598
252,598,12366.6667,86933.3333,2782
253,2782,12350.0,86966.6667,1222
254,1222,12383.3333,86983.3333,1226
255,1226,12383.3333,86983.3333,3222
256,3222,12383.3333,87000.0,1421
257,1421,12383.3333,87016.6667,1694
258,1694,12366.6667,87016.6667,1203
259,1203,12366.6667,87033.3333,1123
260,1123,12366.6667,87033.3333,597
261,597,12383.3333,87050.0,1363
262,1363,12400.0,87033.3333,923
263,923,12400.0,87016.6667,549
264,549,12416.6667,86983.3333,2290
265,2290,12416.6667,87016.6667,395
266,395,12433.3333,87033.3333,1124
267,1124,12450.0,87050.0,1208
268,1208,12450.0,87050.0,2202
269,2202,12450.0,87050.0,2516
270,2516,12450.0,87050.0,2001
271,2001,12466.6667,87033.3333,3000
272,3000,12483.3333,87050.0,3001
273,3001,12483.3333,87050.0,1192
274,1192,12466.6667,87066.6667,1069
275,1069,12483.3333,87116.6667,1073
276,1073,12466.6667,87116.6667,2837
277,2837,12466.6667,87116.6667,3326
278,3326,12466.6667,87116.6667,1586
279,1586,12450.0,87166.6667,2960
280,2960,12483.3333,87166.6667,3083
281,3083,12516.6667,87200.0,1196
282,1196,12516.6667,87200.0,2377
283,2377,12533.3333,87216.6667,1197
284,1197,12550.0,87233.3333,3084
285,3084,12550.0,87233.3333,2321
286,2321,12566.6667,87233.3333,860
287,860,12566.6667,87216.6667,766
288,766,12583.3333,87200.0,428
289,428,12583.3333,87200.0,777
290,777,12583.3333,87200.0,3056
291,3056,12583.3333,87233.3333,681
292,681,12583.3333,87266.6667,9
293,9,12566.6667,87300.0,1059
294,1059,12566.6667,87300.0,2370
295,2370,12566.6667,87300.0,3086
296,3086,12583.3333,87283.3333,1440
297,1440,12583.3333,87283.3333,1845
298,1845,12600.0,87283.3333,1988
299,1988,12616.6667,87283.3333,2027
300,2027,12616.6667,87300.0,1344
301,1344,12650.0,87300.0,1787
302,1787,12666.6667,87283.3333,2676
303,2676,12650.0,87266.6667,2501
304,2501,12633.3333,87266.6667,2844
305,2844,12616.6667,87233.3333,3334
306,3334,12616.6667,87233.3333,546
307,546,12650.0,87233.3333,803
308,803,12650.0,87216.6667,1970
309,1970,12666.6667,87216.6667,123
310,123,12650.0,87200.0,3317
311,3317,12633.3333,87200.0,2531
312,2531,12616.6667,87183.3333,3037
313,3037,12616.6667,87150.0,2507
314,2507,12633.3333,87150.0,1949
315,1949,12633.3333,87150.0,1622
316,1622,12633.3333,87150.0,2166
317,2166,12650.0,87150.0,111
318,111,12666.6667,87166.6667,2379
319,2379,12666.6667,87166.6667,1556
320,1556,12683.3333,87166.6667,1824
321,1824,12700.0,87166.6667,1600
322,1600,12733.3333,87183.3333,761
323,761,12716.6667,87183.3333,1978
324,1978,12700.0,87200.0,2343
325,2343,12700.0,87200.0,235
326,235,12683.3333,87200.0,2201
327,2201,12700.0,87233.3333,1331
328,1331,12700.0,87233.3333,1733
329,1733,12700.0,87250.0,344
330,344,12683.3333,87250.0,624
331,624,12683.3333,87250.0,391
332,391,12683.3333,87250.0,586
333,586,12700.0,87283.3333,397
334,397,12716.6667,87300.0,377
335,377,12716.6667,87300.0,559
336,559,12733.3333,87333.3333,2450
337,2450,12716.6667,87333.3333,950
338,950,12716.6667,87333.3333,410
339,410,12700.0,87333.3333,238
340,238,12700.0,87333.3333,1935
341,1935,12683.3333,87333.3333,1918
342,1918,12683.3333,87333.3333,2308
343,2308,12666.6667,87350.0,3380
344,3380,12633.3333,87366.6667,1160
345,1160,12700.0,87383.3333,255
346,255,12733.3333,87433.3333,2168
347,2168,12733.3333,87433.3333,1482
348,1482,12733.3333,87400.0,405
349,405,12750.0,87383.3333,419
350,419,12750.0,87383.3333,890
351,890,12766.6667,87383.3333,3064
352,3064,12766.6667,87383.3333,2243
353,2243,12800.0,87400.0,95
354,95,12800.0,87400.0,2236
355,2236,12816.6667,87416.6667,2239
356,2239,12816.6667,87416.6667,2735
357,2735,12816.6667,87416.6667,849
358,849,12816.6667,87450.0,122
359,122,12783.3333,87483.3333,1079
360,1079,12850.0,87500.0,1635
361,1635,12850.0,87533.3333,694
362,694,12883.3333,87533.3333,2495
363,2495,12866.6667,87566.6667,1762
364,1762,12833.3333,87583.3333,545
365,545,12850.0,87600.0,1052
366,1052,12900.0,87633.3333,319
367,319,12900.0,87633.3333,317
368,317,12900.0,87633.3333,2422
369,2422,12900.0,87633.3333,2778
370,2778,12983.3333,87650.0,2461
371,2461,13050.0,87583.3333,991
372,991,13050.0,87583.3333,1673
373,1673,13033.3333,87533.3333,1112
374,1112,13016.6667,87500.0,2797
375,2797,12983.3333,87483.3333,3151
376,3151,12983.3333,87483.3333,2951
377,2951,12916.6667,87500.0,2950
378,2950,12916.6667,87500.0,2541
379,2541,12916.6667,87500.0,2028
380,2028,12883.3333,87500.0,1424
381,1424,12883.3333,87400.0,3230
382,3230,12833.3333,87383.3333,3388
383,3388,12833.3333,87350.0,1843
384,1843,12783.3333,87350.0,1225
385,1225,12783.3333,87300.0,764
386,764,12766.6667,87283.3333,771
387,771,12766.6667,87283.3333,3035
388,3035,12750.0,87283.3333,2331
389,2331,12783.3333,87250.0,2812
390,2812,12850.0,87266.6667,1040
391,1040,12883.3333,87283.3333,1130
392,1130,12883.3333,87283.3333,281
393,281,12866.6667,87216.6667,1872
394,1872,12850.0,87200.0,1328
395,1328,12850.0,87183.3333,1066
396,1066,12850.0,87183.3333,2565
397,2565,12833.3333,87200.0,326
398,326,12800.0,87216.6667,1507
399,1507,12766.6667,87183.3333,822
400,822,12766.6667,87166.6667,675
401,675,12783.3333,87133.3333,237
402,237,12766.6667,87133.3333,2544
403,2544,12733.3333,87116.6667,218
404,218,12716.6667,87133.3333,773
405,773,12716.6667,87116.6667,980
406,980,12716.6667,87100.0,644
407,644,12700.0,87100.0,1420
408,1420,12683.3333,87116.6667,400
409,400,12666.6667,87100.0,581
410,581,12666.6667,87083.3333,1471
411,1471,12666.6667,87083.3333,2021
412,2021,12683.3333,87083.3333,1555
413,1555,12716.6667,87066.6667,917
414,917,12733.3333,87050.0,2075
415,2075,12700.0,87033.3333,2740
416,2740,12683.3333,87033.3333,2530
417,2530,12666.6667,87066.6667,1782
418,1782,12633.3333,87083.3333,1884
419,1884,12633.3333,87083.3333,1386
420,1386,12616.6667,87083.3333,739
421,739,12616.6667,87116.6667,500
422,500,12600.0,87133.3333,2484
423,2484,12600.0,87133.3333,2976
424,2976,12583.3333,87150.0,1749
425,1749,12550.0,87150.0,1922
426,1922,12550.0,87150.0,813
427,813,12550.0,87166.6667,1019
428,1019,12533.3333,87166.6667,2489
429,2489,12533.3333,87166.6667,1075
430,1075,12516.6667,87133.3333,1071
431,1071,12516.6667,87133.3333,2997
432,2997,12516.6667,87116.6667,449
433,449,12566.6667,87116.6667,2320
434,2320,12583.3333,87116.6667,2203
435,2203,12583.3333,87100.0,2949
436,2949,12583.3333,87066.6667,2013
437,2013,12566.6667,87066.6667,1224
438,1224,12566.6667,87066.6667,918
439,918,12533.3333,87050.0,2200
440,2200,12533.3333,87050.0,3003
441,3003,12533.3333,87050.0,905
442,905,12550.0,87033.3333,2179
443,2179,12550.0,87016.6667,3042
444,3042,12566.6667,87033.3333,90
445,90,12583.3333,87033.3333,2155
446,2155,12600.0,87016.6667,1807
447,1807,12616.6667,87016.6667,1702
448,1702,12616.6667,87000.0,115
449,115,12600.0,86983.3333,3287
450,3287,12616.6667,86983.3333,1459
451,1459,12633.3333,86966.6667,3387
452,3387,12650.0,86983.3333,3290
453,3290,12666.6667,86950.0,3373
454,3373,12666.6667,86950.0,775
455,775,12650.0,86933.3333,479
456,479,12633.3333,86950.0,1719
457,1719,12616.6667,86933.3333,2405
458,2405,12600.0,86950.0,1606
459,1606,12600.0,86933.3333,1457
460,1457,12583.3333,86933.3333,3293
461,3293,12566.6667,86916.6667,2991
462,2991,12550.0,86916.6667,1792
463,1792,12566.6667,86900.0,282
464,282,12583.3333,86900.0,3494
465,3494,12610.8333,86899.1667,3425
466,3425,12633.3333,86900.0,1484
467,1484,12633.3333,86883.3333,3088
468,3088,12633.3333,86883.3333,3089
469,3089,12650.0,86866.6667,1503
470,1503,12650.0,86866.6667,547
471,547,12650.0,86833.3333,1734
472,1734,12666.6667,86850.0,1769
473,1769,12666.6667,86866.6667,3096
474,3096,12666.6667,86866.6667,1343
475,1343,12683.3333,86866.6667,1859
476,1859,12683.3333,86900.0,714
477,714,12700.0,86883.3333,1986
478,1986,12700.0,86883.3333,1248
479,1248,12716.6667,86866.6667,2644
480,2644,12716.6667,86883.3333,2294
481,2294,12733.3333,86883.3333,1759
482,1759,12733.3333,86883.3333,327
483,327,12750.0,86866.6667,3421
484,3421,12750.0,86900.0,743
485,743,12766.6667,86916.6667,736
486,736,12766.6667,86916.6667,3163
487,3163,12783.3333,86916.6667,538
488,538,12766.6667,86933.3333,100
489,100,12789.4444,86945.0,101
490,101,12789.4444,86945.0,1083
491,1083,12789.4444,86945.0,2496
492,2496,12789.4444,86945.0,97
493,97,12789.4444,86945.0,96
494,96,12789.4444,86945.0,2577
495,2577,12800.0,86966.6667,1266
496,1266,12800.0,86966.6667,2368
497,2368,12783.3333,86983.3333,3492
498,3492,12797.2222,86987.5,139
499,139,12797.2222,86987.5,1837
500,1837,12816.6667,86983.3333,1873
501,1873,12800.0,87033.3333,1357
502,1357,12783.3333,87050.0,3177
503,3177,12783.3333,87066.6667,1012
504,1012,12783.3333,87083.3333,2037
505,2037,12833.3333,87083.3333,3157
506,3157,12866.6667,87133.3333,2088
507,2088,12983.3333,87083.3333,1541
508,1541,12983.3333,87066.6667,1214
509,1214,12983.3333,87016.6667,610
510,610,12950.0,87000.0,607
511,607,12950.0,87000.0,1382
512,1382,12983.3333,86966.6667,1712
513,1712,12983.3333,86966.6667,1714
514,1714,12983.3333,86966.6667,1101
515,1101,13033.3333,86916.6667,354
516,354,13033.3333,86916.6667,426
517,426,13066.6667,86883.3333,1523
518,1523,12983.3333,86900.0,1766
519,1766,12950.0,86900.0,1768
520,1768,12950.0,86900.0,2893
521,2893,12950.0,86900.0,2894
522,2894,12950.0,86900.0,3065
523,3065,12909.7222,86916.6667,3169
524,3169,12933.3333,86866.6667,2238
525,2238,12933.3333,86850.0,1976
526,1976,12983.3333,86850.0,103
527,103,12963.6111,86814.7222,642
528,642,12950.0,86800.0,669
529,669,12966.6667,86766.6667,2512
530,2512,12983.3333,86800.0,872
531,872,13000.0,86800.0,154
532,154,13000.0,86766.6667,155
533,155,13000.0,86766.6667,1679
534,1679,13000.0,86766.6667,2899
535,2899,13066.6667,86766.6667,2898
536,2898,13066.6667,86766.6667,170
537,170,13066.6667,86766.6667,995
538,995,13133.3333,86783.3333,836
539,836,13200.0,86766.6667,843
540,843,13200.0,86766.6667,844
541,844,13200.0,86766.6667,846
542,846,13200.0,86766.6667,2941
543,2941,13200.0,86766.6667,838
544,838,13200.0,86766.6667,842
545,842,13200.0,86766.6667,8
546,8,13200.0,86800.0,2366
547,2366,13200.0,86800.0,2995
548,2995,13166.6667,86816.6667,3053
549,3053,13166.6667,86816.6667,403
550,403,13183.3333,86933.3333,402
551,402,13183.3333,86933.3333,404
552,404,13183.3333,86933.3333,640
553,640,13266.6667,86883.3333,633
554,633,13266.6667,86883.3333,636
555,636,13266.6667,86883.3333,634
556,634,13266.6667,86883.3333,3032
557,3032,13233.3333,86866.6667,3379
558,3379,13250.0,86833.3333,2854
559,2854,13250.0,86833.3333,2162
560,2162,13250.0,86783.3333,3378
561,3378,13250.0,86766.6667,3377
562,3377,13250.0,86766.6667,1554
563,1554,13250.0,86766.6667,2617
564,2617,13233.3333,86700.0,1601
565,1601,13233.3333,86700.0,3398
566,3398,13266.6667,86666.6667,2858
567,2858,13266.6667,86666.6667,173
568,173,13266.6667,86666.6667,2913
569,2913,13283.3333,86650.0,760
570,760,13283.3333,86650.0,1090
571,1090,13350.0,86616.6667,972
572,972,13350.0,86616.6667,387
573,387,13350.0,86616.6667,1667
574,1667,13350.0,86616.6667,2599
575,2599,13366.6667,86650.0,1404
576,1404,13366.6667,86650.0,2664
577,2664,13400.0,86733.3333,1106
578,1106,13450.0,86700.0,1479
579,1479,13450.0,86700.0,2340
580,2340,13450.0,86716.6667,2679
581,2679,13450.0,86716.6667,1239
582,1239,13483.3333,86733.3333,1237
583,1237,13483.3333,86733.3333,1238
584,1238,13483.3333,86733.3333,325
585,325,13533.3333,86716.6667,321
586,321,13533.3333,86716.6667,285
587,285,13533.3333,86716.6667,163
588,163,13533.3333,86716.6667,767
589,767,13583.3333,86700.0,1385
590,1385,13600.0,86616.6667,1384
591,1384,13600.0,86616.6667,1381
592,1381,13600.0,86616.6667,1380
593,1380,13600.0,86616.6667,1443
594,1443,13650.0,86616.6667,2861
595,2861,13633.3333,86633.3333,3413
596,3413,13633.3333,86633.3333,3414
597,3414,13633.3333,86633.3333,2207
598,2207,13633.3333,86683.3333,1467
599,1467,13683.3333,86700.0,10
600,10,13700.0,86766.6667,486
601,486,13750.0,86716.6667,1829
602,1829,13733.3333,86700.0,2715
603,2715,13733.3333,86700.0,2946
604,2946,13733.3333,86700.0,1260
605,1260,13733.3333,86616.6667,1261
606,1261,13733.3333,86616.6667,1262
607,1262,13733.3333,86616.6667,1736
608,1736,13783.3333,86566.6667,1137
609,1137,13783.3333,86550.0,1488
610,1488,13783.3333,86550.0,1135
611,1135,13783.3333,86550.0,2888
612,2888,13733.3333,86516.6667,2889
613,2889,13716.6667,86500.0,1030
614,1030,13666.6667,86433.3333,1324
615,1324,13650.0,86450.0,1322
616,1322,13650.0,86450.0,1258
617,1258,13633.3333,86483.3333,3394
618,3394,13633.3333,86516.6667,3395
619,3395,13633.3333,86516.6667,112
620,112,13566.6667,86533.3333,7
621,7,13516.6667,86533.3333,136
622,136,13516.6667,86533.3333,2364
623,2364,13516.6667,86533.3333,742
624,742,13516.6667,86533.3333,132
625,132,13533.3333,86516.6667,409
626,409,13533.3333,86516.6667,227
627,227,13566.6667,86500.0,6
628,6,13583.3333,86433.3333,2362
629,2362,13583.3333,86433.3333,2156
630,2156,13516.6667,86400.0,2620
631,2620,13516.6667,86400.0,2010
632,2010,13500.0,86383.3333,2975
633,2975,13500.0,86383.3333,1227
634,1227,13450.0,86400.0,174
635,174,13416.6667,86400.0,2880
636,2880,13416.6667,86400.0,2895
637,2895,13416.6667,86400.0,463
638,463,13400.0,86383.3333,878
639,878,13383.3333,86366.6667,2971
640,2971,13350.0,86400.0,2833
641,2833,13333.3333,86450.0,1107
642,1107,13316.6667,86466.6667,1108
643,1108,13316.6667,86466.6667,1111
644,1111,13316.6667,86466.6667,2503
645,2503,13316.6667,86466.6667,1014
646,1014,13366.6667,86450.0,1085
647,1085,13383.3333,86483.3333,609
648,609,13433.3333,86466.6667,222
649,222,13450.0,86483.3333,2399
650,2399,13450.0,86483.3333,151
651,151,13466.6667,86466.6667,1520
652,1520,13466.6667,86466.6667,29
653,29,13483.3333,86483.3333,142
654,142,13466.6667,86533.3333,914
655,914,13466.6667,86533.3333,579
656,579,13450.0,86533.3333,425
657,425,13450.0,86566.6667,421
658,421,13450.0,86566.6667,133
659,133,13450.0,86566.6667,353
660,353,13483.3333,86583.3333,134
661,134,13450.0,86600.0,513
662,513,13450.0,86600.0,713
663,713,13416.6667,86600.0,423
664,423,13416.6667,86550.0,2273
665,2273,13416.6667,86550.0,2270
666,2270,13416.6667,86550.0,1542
667,1542,13400.0,86550.0,3153
668,3153,13400.0,86550.0,3189
669,3189,13400.0,86550.0,2610
670,2610,13366.6667,86516.6667,1591
671,1591,13366.6667,86516.6667,976
672,976,13350.0,86550.0,1505
673,1505,13300.0,86566.6667,1941
674,1941,13183.3333,86566.6667,2299
675,2299,13183.3333,86566.6667,1598
676,1598,13166.6667,86616.6667,735
677,735,13166.6667,86616.6667,338
678,338,13100.0,86616.6667,1662
679,1662,13100.0,86616.6667,3193
680,3193,13083.3333,86633.3333,2051
681,2051,13083.3333,86633.3333,2618
682,2618,13083.3333,86550.0,1951
683,1951,13083.3333,86550.0,3448
684,3448,13050.0,86583.3333,765
685,765,13050.0,86583.3333,1570
686,1570,13016.6667,86600.0,1538
687,1538,13033.3333,86616.6667,3148
688,3148,13033.3333,86616.6667,2506
689,2506,13000.0,86650.0,1914
690,1914,12966.6667,86666.6667,1410
691,1410,12966.6667,86666.6667,1338
692,1338,12933.3333,86683.3333,2307
693,2307,12950.0,86716.6667,2639
694,2639,12916.6667,86750.0,2052
695,2052,12883.3333,86783.3333,3491
696,3491,12862.7778,86845.5556,2866
697,2866,12833.3333,86800.0,2289
698,2289,12800.0,86766.6667,540
699,540,12766.6667,86766.6667,1453
700,1453,12766.6667,86766.6667,1370
701,1370,12751.3889,86738.0556,2611
702,2611,12751.3889,86738.0556,1373
703,1373,12751.3889,86738.0556,1592
704,1592,12751.3889,86738.0556,1700
705,1700,12766.6667,86716.6667,2713
706,2713,12800.0,86716.6667,703
707,703,12783.3333,86683.3333,2076
708,2076,12833.3333,86666.6667,695
709,695,12850.0,86700.0,2012
710,2012,12866.6667,86716.6667,1665
711,1665,12866.6667,86733.3333,662
712,662,12883.3333,86716.6667,2390
713,2390,12883.3333,86700.0,2671
714,2671,12900.0,86683.3333,3048
715,3048,12900.0,86650.0,3050
716,3050,12900.0,86650.0,1015
717,1015,12883.3333,86633.3333,1519
718,1519,12883.3333,86616.6667,580
719,580,12866.6667,86600.0,1506
720,1506,12900.0,86583.3333,2234
721,2234,12916.6667,86616.6667,2235
722,2235,12933.3333,86616.6667,2237
723,2237,12933.3333,86616.6667,1798
724,1798,12933.3333,86633.3333,1504
725,1504,12966.6667,86616.6667,1680
726,1680,12950.0,86583.3333,1006
727,1006,12983.8889,86573.0556,1813
728,1813,12966.6667,86550.0,2953
729,2953,12950.0,86516.6667,2769
730,2769,12933.3333,86533.3333,1164
731,1164,12916.6667,86516.6667,1491
732,1491,12916.6667,86516.6667,1161
733,1161,12916.6667,86516.6667,2457
734,2457,12916.6667,86533.3333,956
735,956,12916.6667,86533.3333,889
736,889,12916.6667,86550.0,1509
737,1509,12900.0,86566.6667,2536
738,2536,12900.0,86566.6667,2867
739,2867,12883.3333,86550.0,2447
740,2447,12886.9444,86538.0556,390
741,390,12886.9444,86538.0556,1659
742,1659,12866.6667,86533.3333,246
